objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Campusecho011,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-2/,,Number_Of_Whites_Increase,application/pdf,NCCU experienced an increase of white students. A lot of them attended for the experience and a lot of the black students didn't agree with this change because they feared that the white students would take over.,Campus Echo,,1970-10-1,yes,single-page; newspaper article,White students; Controversal; Predominantly white college;,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1970.10.01.2.Number_Of_Whites_Increase,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho012,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-2/,,Courses_Added_In_Black_Studies,application/pdf,8 Black students were awarded fellowships for being interested in journalism. They were looking for students in specific majors like sociology and political science.,Campus Echo,,1970-10-1,yes,single-page; newspaper article,Fellowships; Journalism;,"Durham, NC",46.755184,-116.909892,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1970.10.01.2.Courses_Added_In_Black_Studies,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho013,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-3/,,Journalism_Fellowships_Offered_To_Interested_Young_Blacks,application/pdf,Washington was offering 8 awards to black students who were interested in journalism. It covered living expenses for the students.,Campus Echo,,1970-10-01,yes,single-page; newspaper article,Washington; Fellowships; Journalism,"Durham, NC",,,The Way Magazine,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",1970.10.01.3.Journalism_Fellowships_Offered_To_Interested_Young_Blacks,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho014,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-3/,,Fashion_'70_Mini_Midi_Maxi_All_Are_'In',application/pdf,The women are concerned about their styles because it is constantly changing. They discuss the latest fashion trends and what they wear in terms of being stylish.,Campus Echo,,1970-10-01,yes,single-page; newspaper article,Women; Fashion; Outdated;,"Durham, NC",40.713569,-74.023587,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 13",1970.10.01.3.Fashion_'70_Mini_Midi_Maxi_All_Are_'In',"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho015,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-4/,,SNEA_Leader_Criticizes_NC_Election_Borad,application/pdf,In 1971 citizens who were 18 were able to vote but the N.C elections board wouldn't let students vote. ,Campus Echo,,1970-10-01,yes,single-page; newspaper article,"Voting rights, Young voters, Percy A. Peele; NCAE; NEA","Durham, NC",,,,North Carolina Central University,North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1970.10.01.2.How_To_Lose_Party_Night_Blues ,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho016,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-4/,,NCCU_Vets_Club_Elects_Officers,application/pdf,The vets club held their first meeting.They also elected a new president and vice president and are planning to host multiple events for the club.,Campus Echo,My dear friend and fellow-student,1970-10-01,yes,single-page; newspaper article,Vets Club; Meetings; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1970.10.01.1.DBC_Building_New_Dormitory,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho017,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-5/,,DBC_Building_New_Dormitory,application/pdf,They built a new dorm because of an increase of students. They also expanded a lot of faculties and will mark a milestone in durham business college.,Campus Echo,Students,1970-10-01,yes,single-page; newspaper article,New dorm; Increase of enrollments;,"Durham,NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",1970.10.01.4.SNEA_Leader_Criticizes_N.C_Elections_Board,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho018,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-5/,,NCCU_Gets_Elementary_Education_Program,application/pdf,A new program is allowing students to major in Elementary Education. The head of the program is someone who graduated from Duke University and it supposidly only has 1 course. ,Campus Echo,,1970-10-01,yes,single-page; newspaper article,Elementary Education; Duke University; ,"Durham,NC",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.10.01.5.NCCU_Gets_Elementary_Education_Program,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho019,https://newspapers.digitalnc.org/lccn/2015236599/1970-10-01/ed-1/seq-6/,,Quinn_'Loves_Position',application/pdf,A cornerback is interviewed by the school newspaper team. He talks about his skills in football and where he came from.,Campus Echo,,1970-10-01,yes,single-page; newspaper article,Cornerback; Football; Defensive role;,"Durham,NC",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.10.01.6.Quinn_'Loves_Position',"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho020,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,More_Activities_In_Inframurals,application/pdf,The department of physical education has added a new program. It was created for students who were not being physical.,Campus Echo,,1970-10-01,yes,single-page; newspaper article,Physical education; New Program;,"Durham,NC",46.732505,-117.001181,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.10.01.6.More_Activities_In_Inframurals,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho021,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Class_Of_'74_Shows_Awareness,application/pdf,68 freshman at NCCU competed for class offices. Their ultimate goal being unification and serving the Duham community,Campus Echo,,1970-12-04,yes,multiple-page; newspaper article,Political awareness; Election; Campaining; Freshman class,"Durham, NC",,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.1.Class_Of_'74_Shows_Awareness,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho022,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Freshman_Form_Strong_Men's_Club,application/pdf,Freshman have formed an organization to promote the community. The members gave extram mealbooks.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Organization; Strong Men's Club; Mealbooks;,"Durham, NC",,,The News-Review,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Robinson & Friends'",1970.12.04.1.Freshman_Form_Strong_Men's_Club,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho023,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Education_Conference_Held_Here,application/pdf,They had a conference to discuss the enviormental problems at central. They also talk about disease and how to improve their socio-economic problems.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Enviorment; Conference; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1970.12.04.1.Education_Conference_Held_Here,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho024,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Music_Educators_Hold_Conference,application/pdf,A conference is held in the state for Music educators. They name the music educators and where they graduated from.  ,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Music Educators; Audrey Davis; Patricia Davis; ,"Durham, NC",,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1970.12.04.1.Music_Educators_Hold_Conference,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho025,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,SNEA_Reaches_For_Higher_Goals,application/pdf,They are attempting to revisit projects created by the community. Their main goal is to work with young people in the black community.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,National Education Association; projects; Community;,"Durham, NC",46.733027,-116.992443,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",1970.12.04.1.SNEA_Reaches_For_Higher_Goals,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Campusecho026,https://newspapers.digitalnc.org/lccn/2015236599/1970-12-04/ed-1/seq-1/,,Muhammad_Ali_IS_Still_Champ,application/pdf,Muhammad made a comeback after 3 and a half years. He was declared the winner after a knock out.,Campus Echo,,1970-12-04,yes,single-page; newspaper article,Muhammad Ali; Knockout; Black Celebrities;,"Durham, NC",,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/",North Carolina Central University Student Newspaper,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",1970.12.04.2.Muhammad_Ali_IS_Still_Champ,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
